,CASE_NUM,datetime,LONGITUDE,LATITUDE,score
11055,SAPD16272004,12/14/2016 19:25,-98.4997459,29.40076856,2117.773518
11071,SAPD16272197,12/14/2016 22:00,-98.64110574,29.46203186,1536.557083
11148,SAPD16272150,12/14/2016 23:49,-98.49338064,29.53327265,1796.864408
11054,SAPD16282872,12/14/2016 23:59,-98.47986787,29.61540678,921.3549227
10418,SAPD16272706,12/15/2016 0:00,-98.50442482,29.48215409,2131.05862
10417,SAPD16272572,12/15/2016 7:00,-98.59571898,29.45028558,1966.591986
10416,SAPD16272921,12/15/2016 7:10,-98.60259899,29.46390644,1933.451556
10415,SAPD16272647,12/15/2016 7:15,-98.52804647,29.47160212,2232.804672
10414,SAPD16272735,12/15/2016 7:30,-98.43141127,29.51528215,1652.869476
10419,SAPD16272625,12/15/2016 7:50,-98.66256921,29.48572975,1329.755729
10413,SAPD16273652,12/15/2016 8:00,-98.47110891,29.44309874,2151.665141
10412,SAPD16272783,12/15/2016 8:30,-98.34940523,29.48551176,1024.61746
10411,SAPD16272821,12/15/2016 8:50,-98.36365092,29.49209943,1132.637636
10409,SAPD17000560,12/15/2016 9:00,-98.5835842,29.54315725,1619.426953
10410,SAPD16272864,12/15/2016 9:00,-98.56108172,29.39636976,1997.931737
10430,SAPD16272583,12/15/2016 10:00,-98.42317269,29.425595,1728.86504
10429,SAPD16272756,12/15/2016 11:20,-98.50450291,29.39533395,2225.791929
10384,SAPD16282540,12/15/2016 12:00,-98.49281527,29.44651547,2326.827412
10408,SAPD16272734,12/15/2016 12:00,-98.5372322,29.43080574,2378.43413
10428,SAPD16272584,12/15/2016 14:00,-98.5589372,29.34503105,1547.360096
10427,SAPD16272677,12/15/2016 15:44,-98.57362843,29.41718005,2155.533761
10426,SAPD16272718,12/15/2016 15:45,-98.63257893,29.37451548,1395.247502
10425,SAPD16273217,12/15/2016 18:30,-98.39959286,29.56761636,1044.732787
